ID,Key,Value
SYS_Fag_00318,internettviktighet,Helt nødvendig
SYS_Fag_00332,internettviktighet,Fungerer uten
SYS_Fag_00305,internettviktighet,
SYS_Fag_00329,internettviktighet,
SYS_Fag_00286,internettviktighet,
SYS_Fag_00303,internettviktighet,
SYS_Fag_00136,internettviktighet,
SYS_Fag_00131,internettviktighet,Helt nødvendig
SYS_Fag_00246,internettviktighet,
SYS_Fag_00425,internettviktighet,
SYS_Fag_00321,internettviktighet,
SYS_Fag_00380,internettviktighet,
SYS_Fag_00426,internettviktighet,
SYS_Fag_00369,internettviktighet,
SYS_Fag_00057,internettviktighet,
SYS_Fag_00224,internettviktighet,
SYS_Fag_00381,internettviktighet,
SYS_Fag_00427,internettviktighet,
SYS_Fag_00060,internettviktighet,
SYS_Fag_00341,internettviktighet,
SYS_Fag_00185,internettviktighet,
SYS_Fag_00190,internettviktighet,
SYS_Fag_00428,internettviktighet,
SYS_Fag_00222,internettviktighet,
SYS_Fag_00240,internettviktighet,
SYS_Fag_00276,internettviktighet,
SYS_Fag_00293,internettviktighet,
SYS_Fag_00405,internettviktighet,
SYS_Fag_00061,internettviktighet,
SYS_Fag_00361,internettviktighet,
SYS_Fag_00063,internettviktighet,
SYS_Fag_00064,internettviktighet,
SYS_Fag_00304,internettviktighet,
SYS_Fag_00234,internettviktighet,
SYS_Fag_00349,internettviktighet,
SYS_Fag_00066,internettviktighet,
SYS_Fag_00067,internettviktighet,
SYS_Fag_00433,internettviktighet,
SYS_Fag_00174,internettviktighet,
SYS_Fag_00429,internettviktighet,
SYS_Fag_00358,internettviktighet,
SYS_Fag_00184,internettviktighet,
SYS_Fag_00294,internettviktighet,
SYS_Fag_00382,internettviktighet,
SYS_Fag_00073,internettviktighet,
SYS_Fag_00074,internettviktighet,
SYS_Fag_00403,internettviktighet,
SYS_Fag_00383,internettviktighet,
SYS_Fag_00394,internettviktighet,
SYS_Fag_00395,internettviktighet,
SYS_Fag_00078,internettviktighet,
SYS_Fag_00079,internettviktighet,
SYS_Fag_00226,internettviktighet,
SYS_Fag_00124,internettviktighet,
SYS_Fag_00125,internettviktighet,
SYS_Fag_00080,internettviktighet,
SYS_Fag_00396,internettviktighet,
SYS_Fag_00384,internettviktighet,
SYS_Fag_00084,internettviktighet,
SYS_Fag_00082,internettviktighet,
SYS_Fag_00138,internettviktighet,
SYS_Fag_00083,internettviktighet,
SYS_Fag_00209,internettviktighet,
SYS_Fag_00256,internettviktighet,
SYS_Fag_00137,internettviktighet,
SYS_Fag_00085,internettviktighet,
SYS_Fag_00086,internettviktighet,
SYS_Fag_00311,internettviktighet,Delvis nødvendig
SYS_Fag_00087,internettviktighet,
SYS_Fag_00296,internettviktighet,Fungerer uten
SYS_Fag_00088,internettviktighet,
SYS_Fag_00158,internettviktighet,
SYS_Fag_00331,internettviktighet,Helt nødvendig
SYS_Fag_00090,internettviktighet,
SYS_Fag_00091,internettviktighet,
SYS_Fag_00367,internettviktighet,
SYS_Fag_00270,internettviktighet,
SYS_Fag_00308,internettviktighet,
SYS_Fag_00385,internettviktighet,
SYS_Fag_00430,internettviktighet,
SYS_Fag_00431,internettviktighet,
SYS_Fag_00350,internettviktighet,
SYS_Fag_00336,internettviktighet,
SYS_Fag_00093,internettviktighet,
SYS_Fag_00094,internettviktighet,
SYS_Fag_00097,internettviktighet,
SYS_Fag_00193,internettviktighet,
SYS_Fag_00273,internettviktighet,
SYS_Fag_00098,internettviktighet,
SYS_Fag_00099,internettviktighet,
SYS_Fag_00100,internettviktighet,
SYS_Fag_00373,internettviktighet,
SYS_Fag_00386,internettviktighet,
SYS_Fag_00400,internettviktighet,
SYS_Fag_00411,internettviktighet,
SYS_Fag_00347,internettviktighet,
SYS_Fag_00410,internettviktighet,
SYS_Fag_00406,internettviktighet,
SYS_Fag_00370,internettviktighet,
SYS_Fag_00371,internettviktighet,
SYS_Fag_00130,internettviktighet,
SYS_Fag_00282,internettviktighet,
SYS_Fag_00415,internettviktighet,
SYS_Fag_00236,internettviktighet,
SYS_Fag_00051,internettviktighet,
SYS_Fag_00050,internettviktighet,
SYS_Fag_00102,internettviktighet,
SYS_Fag_00348,internettviktighet,
SYS_Fag_00368,internettviktighet,
SYS_Fag_00310,internettviktighet,Helt nødvendig
SYS_Fag_00387,internettviktighet,
SYS_Fag_00360,internettviktighet,
SYS_Fag_00359,internettviktighet,
SYS_Fag_00337,internettviktighet,Delvis nødvendig
SYS_Fag_00338,internettviktighet,Delvis nødvendig
SYS_Fag_00339,internettviktighet,Fungerer uten
SYS_Fag_00002,internettviktighet,
SYS_Fag_00335,internettviktighet,
SYS_Fag_00003,internettviktighet,
SYS_Fag_00291,internettviktighet,
SYS_Fag_00363,internettviktighet,
SYS_Fag_00397,internettviktighet,
SYS_Fag_00399,internettviktighet,
SYS_Fag_00237,internettviktighet,
SYS_Fag_00105,internettviktighet,
SYS_Fag_00106,internettviktighet,
SYS_Fag_00107,internettviktighet,
SYS_Fag_00109,internettviktighet,
SYS_Fag_00324,internettviktighet,
SYS_Fag_00413,internettviktighet,
SYS_Fag_00343,internettviktighet,
SYS_Fag_00398,internettviktighet,
SYS_Fag_00247,internettviktighet,Helt nødvendig
SYS_Fag_00248,internettviktighet,
SYS_Fag_00175,internettviktighet,
SYS_Fag_00111,internettviktighet,
SYS_Fag_00283,internettviktighet,
SYS_Fag_00157,internettviktighet,
